City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Fare,PF,78.89,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
519,Basoko,CD,84.04,moderate rain,1.24,23.62,Flat Hotel La Benediction
521,Sharjah,AE,107.6,clear sky,25.36,55.4,"Radisson Blu Resort, Sharjah-United Arab Emirates"
522,Cuiluan,CN,77.63,overcast clouds,47.72,128.65,Shuncheng Hotel
523,Manaus,BR,80.6,broken clouds,-3.1,-60.02,Hotel do Largo
524,Wanaka,NZ,48.99,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
525,Vestmannaeyjar,IS,51.8,broken clouds,63.44,-20.27,Glamping & Camping
526,Vung Tau,VN,82.29,light rain,10.35,107.08,Seaside Resort
527,Pore,CO,70.27,scattered clouds,5.73,-71.99,Casa Medica
528,Berlevag,NO,49.87,overcast clouds,70.86,29.09,Kvitbrakka
529,Viedma,AR,45.19,clear sky,-40.81,-63.0,Hotel Cristal
530,Manadhoo,MV,83.21,overcast clouds,5.77,73.38,Vevu Guesthouse
531,Rock Sound,BS,83.55,light rain,24.9,-76.2,Rock Sound Club
532,Brigantine,US,78.8,overcast clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
533,Ucluelet,CA,57.0,overcast clouds,48.93,-125.55,Black Rock Oceanfront Resort
534,Qingdao,CN,84.0,scattered clouds,36.1,120.37,Holiday Inn Qingdao City Centre
535,Winneba,GH,80.6,scattered clouds,5.35,-0.62,Windy Lodge Beach Resort
536,Manggar,ID,81.09,broken clouds,-2.88,108.27,Guest Hotel
537,Vzmorye,RU,69.8,scattered clouds,54.7,20.24,Sportivnaya Hotel
539,Jumla,NP,75.99,light rain,29.27,82.18,Hotel Sundar Rara Karnali
540,Alto Araguaia,BR,65.77,clear sky,-17.31,-53.22,Araguaia Palace Hotel
541,Saryg-Sep,RU,64.11,overcast clouds,51.5,95.6,
542,Leeton,AU,48.99,scattered clouds,-34.57,146.4,Historic Hydro Motor Inn
