WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Ponta Do Sol,PT,32.67,-17.1,75.0,68,14,4.12,few clouds
135,Edd,ER,13.93,41.69,92.46,53,8,8.97,light rain
136,Chuy,UY,-33.7,-53.46,53.8,87,99,8.21,overcast clouds
137,Ancud,CL,-41.87,-73.82,46.0,100,20,6.93,few clouds
138,Poum,NC,-20.23,164.02,68.43,69,25,12.39,scattered clouds
139,Ostrovnoy,RU,68.05,39.51,51.42,85,100,16.17,overcast clouds
140,Cabo San Lucas,MX,22.89,-109.91,84.0,60,20,10.27,few clouds
141,Cockburn Town,TC,21.46,-71.14,81.86,82,60,18.7,broken clouds
142,Marzuq,YE,14.4,46.47,90.36,35,11,5.28,few clouds
143,Sao Lourenco Do Oeste,BR,-26.36,-52.85,57.99,73,0,3.51,clear sky
144,Sheridan,US,44.83,-106.92,69.8,52,1,9.17,clear sky
145,Klaksvik,FO,62.23,-6.59,51.8,93,14,13.87,few clouds
146,Flin Flon,CA,54.77,-101.86,54.21,67,2,3.83,clear sky
147,Kuybyshevo,RU,47.81,38.91,76.69,38,36,7.52,scattered clouds
148,Campbell River,CA,50.02,-125.24,60.8,87,20,1.03,few clouds
149,Lompoc,US,34.64,-120.46,53.6,93,0,4.7,light rain
150,Tual,ID,-5.67,132.75,78.46,83,52,19.48,light rain
151,Atar,MR,20.52,-13.05,101.98,21,0,18.68,clear sky
152,Padang,ID,-0.95,100.35,81.34,72,80,3.89,broken clouds
153,Dumai,ID,1.68,101.45,82.08,80,99,4.21,light rain
154,Leshukonskoye,RU,64.9,45.76,50.92,95,100,8.48,light rain
155,Bouza,NE,14.42,6.04,81.84,63,100,12.48,light rain
156,Qasigiannguit,GL,68.82,-51.19,44.6,81,0,4.7,clear sky
157,Kirakira,SB,-10.45,161.92,79.48,80,19,2.57,light rain
158,Mizque,BO,-17.94,-65.34,51.73,66,0,1.59,clear sky
159,Oriximina,BR,-1.77,-55.87,77.74,68,16,1.72,few clouds
160,Boende,CD,-0.22,20.87,95.27,38,100,4.59,overcast clouds
161,Umm Kaddadah,SD,13.6,26.69,82.9,56,99,14.65,overcast clouds
162,Alihe,CN,50.57,123.72,68.9,87,61,4.27,light rain
163,Kangaatsiaq,GL,68.31,-53.46,43.03,87,44,5.77,scattered clouds
164,Kaitangata,NZ,-46.28,169.85,51.01,82,100,1.99,light rain
165,Boa Vista,BR,2.82,-60.67,75.2,88,75,2.24,broken clouds
166,Namatanai,PG,-3.67,152.43,80.13,82,60,10.33,moderate rain
167,Meulaboh,ID,4.14,96.13,83.07,72,95,5.5,overcast clouds
168,Tilichiki,RU,60.47,166.1,49.23,89,53,2.42,broken clouds
169,Baykit,RU,61.67,96.37,76.24,50,67,4.63,light rain
170,Toowoomba,AU,-27.55,151.97,53.6,62,0,5.82,clear sky
171,Onokhoy,RU,51.93,108.07,66.2,72,90,17.9,overcast clouds
172,Upernavik,GL,72.79,-56.15,41.43,67,0,9.89,clear sky
173,Ust-Koksa,RU,50.27,85.61,73.53,41,4,5.41,clear sky
174,Contramaestre,CU,20.3,-76.24,78.8,88,75,6.93,broken clouds
175,Narsaq,GL,60.92,-46.05,48.2,76,95,3.36,light intensity shower rain
176,Khatanga,RU,71.97,102.5,66.72,67,84,1.83,broken clouds
177,Yerofey Pavlovich,RU,53.97,121.97,66.31,79,88,11.03,overcast clouds
178,Nome,US,64.5,-165.41,51.8,81,1,10.29,clear sky
179,Nongan,CN,44.38,125.17,84.2,62,20,6.71,few clouds
180,Marondera,ZW,-18.19,31.55,66.65,26,0,9.71,clear sky
181,Port Elizabeth,ZA,-33.92,25.57,86.0,17,0,11.41,clear sky
182,Lebu,CL,-37.62,-73.65,50.72,92,92,5.01,overcast clouds
183,Kenai,US,60.55,-151.26,57.2,93,90,3.36,light rain
184,Kang,BW,-23.68,22.79,76.23,18,0,12.64,clear sky
185,Nogales,MX,31.31,-110.94,77.0,88,1,4.09,clear sky
186,Henties Bay,NA,-22.12,14.28,86.0,16,0,16.24,clear sky
187,Luderitz,NA,-26.65,15.16,82.83,15,0,14.27,clear sky
188,Severnoye,RU,56.35,78.36,82.96,62,42,6.58,scattered clouds
189,Sao Benedito Do Rio Preto,BR,-3.33,-43.53,79.48,72,21,3.06,few clouds
190,Guerrero Negro,MX,27.98,-114.06,73.2,71,71,8.43,broken clouds
191,Baiyin,CN,36.56,104.21,86.0,20,20,8.95,few clouds
192,Williams Lake,CA,52.14,-122.14,60.8,67,20,3.36,few clouds
193,Los Llanos De Aridane,ES,28.66,-17.92,77.0,73,15,16.11,few clouds
194,Kaura Namoda,NG,12.59,6.58,84.63,65,96,14.92,overcast clouds
195,Smolenskoye,RU,52.3,85.08,78.37,45,43,11.59,scattered clouds
196,Tucurui,BR,-3.77,-49.67,75.88,64,23,2.77,few clouds
197,Palu,ID,-0.89,119.87,77.25,81,100,2.21,light rain
198,Deville-Les-Rouen,FR,49.47,1.05,69.01,55,90,8.05,overcast clouds
199,Arraial Do Cabo,BR,-22.97,-42.03,59.0,93,20,2.24,few clouds
200,Tevaitoa,PF,-16.78,-151.5,78.93,79,79,11.41,broken clouds
201,Ivankiv,UA,50.94,29.89,66.2,55,68,8.95,broken clouds
202,Tura,IN,25.52,90.22,87.21,77,90,2.68,light rain
203,Waddan,LY,29.16,16.14,97.83,16,0,5.57,clear sky
204,Airai,TL,-8.93,125.41,56.48,100,74,3.09,broken clouds
205,Mont-De-Marsan,FR,44.0,-0.67,73.0,64,75,6.93,broken clouds
206,Gat,IL,31.61,34.76,91.99,48,0,5.99,clear sky
207,Hamilton,US,39.18,-84.53,68.0,93,90,12.75,light rain
208,East Hemet,US,33.74,-116.94,66.99,40,0,1.92,clear sky
209,Shingu,JP,33.73,135.98,78.8,94,40,6.93,scattered clouds
210,Codrington,AU,-38.27,141.97,49.77,69,100,5.57,overcast clouds
211,Moree,AU,-29.47,149.85,51.8,62,0,6.93,clear sky
212,Mapiri,BO,-15.25,-68.17,59.34,81,39,1.34,scattered clouds
213,Paita,PE,-5.09,-81.11,60.51,89,11,10.45,few clouds
214,Bayevo,RU,53.28,80.77,81.39,50,0,11.45,clear sky
215,Yashan,CN,22.2,109.94,79.05,90,100,8.21,light rain
216,Nganjuk,ID,-7.61,111.9,76.17,66,84,10.18,broken clouds
